Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\fhemf\OneDrive - leverage proactive deliverables\Courses\Self Studies\Udacity-Robotics Software Engineer\proj1_Search and Sample Return\RoboND-Rover-Project-master\train_dataset\IMG\robocam_2019_01_20_00_56_35_585.jpg;0;0;1;0;99.66999;85.58899;0.0002429732;225.2178;5.309827E-06
C:\Users\fhemf\OneDrive - leverage proactive deliverables\Courses\Self Studies\Udacity-Robotics Software Engineer\proj1_Search and Sample Return\RoboND-Rover-Project-master\train_dataset\IMG\robocam_2019_01_20_00_56_35_651.jpg;0;0;0;0;99.66999;85.58899;0.0002416061;225.2178;5.266016E-06
C:\Users\fhemf\OneDrive - leverage proactive deliverables\Courses\Self Studies\Udacity-Robotics Software Engineer\proj1_Search and Sample Return\RoboND-Rover-Project-master\train_dataset\IMG\robocam_2019_01_20_00_56_35_720.jpg;0;0;0;0;99.66999;85.58899;0.0002405961;225.2178;5.196162E-06
C:\Users\fhemf\OneDrive - leverage proactive deliverables\Courses\Self Studies\Udacity-Robotics Software Engineer\proj1_Search and Sample Return\RoboND-Rover-Project-master\train_dataset\IMG\robocam_2019_01_20_00_56_35_784.jpg;0;0;0;0;99.66999;85.58899;0.00023929;225.2178;5.004338E-06
C:\Users\fhemf\OneDrive - leverage proactive deliverables\Courses\Self Studies\Udacity-Robotics Software Engineer\proj1_Search and Sample Return\RoboND-Rover-Project-master\train_dataset\IMG\robocam_2019_01_20_00_56_35_852.jpg;0;0;0;0;99.66999;85.58899;0.0002376299;225.2178;4.551233E-06
C:\Users\fhemf\OneDrive - leverage proactive deliverables\Courses\Self Studies\Udacity-Robotics Software Engineer\proj1_Search and Sample Return\RoboND-Rover-Project-master\train_dataset\IMG\robocam_2019_01_20_00_56_35_918.jpg;0;0;0;0;99.66999;85.58899;0.0002364051;225.2178;4.162061E-06
C:\Users\fhemf\OneDrive - leverage proactive deliverables\Courses\Self Studies\Udacity-Robotics Software Engineer\proj1_Search and Sample Return\RoboND-Rover-Project-master\train_dataset\IMG\robocam_2019_01_20_00_56_35_984.jpg;0;0;0;0;99.66999;85.58899;0.0002352211;225.2178;3.674212E-06
C:\Users\fhemf\OneDrive - leverage proactive deliverables\Courses\Self Studies\Udacity-Robotics Software Engineer\proj1_Search and Sample Return\RoboND-Rover-Project-master\train_dataset\IMG\robocam_2019_01_20_00_56_36_052.jpg;0;0;0;0;99.66999;85.58899;0.0002337032;225.2178;2.875741E-06
C:\Users\fhemf\OneDrive - leverage proactive deliverables\Courses\Self Studies\Udacity-Robotics Software Engineer\proj1_Search and Sample Return\RoboND-Rover-Project-master\train_dataset\IMG\robocam_2019_01_20_00_56_36_135.jpg;0;0;0;0;99.66999;85.58899;0.0002323044;225.2178;2.068586E-06
C:\Users\fhemf\OneDrive - leverage proactive deliverables\Courses\Self Studies\Udacity-Robotics Software Engineer\proj1_Search and Sample Return\RoboND-Rover-Project-master\train_dataset\IMG\robocam_2019_01_20_00_56_36_201.jpg;0;0;0;0;99.66999;85.58899;0.000231518;225.2178;1.456011E-06
